"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.ProgramElement.Code","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code.1","Award.ProgramElement.Text"
"1",1,"Curriculum Resources For Earth Science Teaching in SecondarySchools (Ge1426)","02/15/1963","12/31/1975",0,"Standard Grant",5010000,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available",6200002,"Jeremy","Taylor","02/15/1963","Principal Investigator","National Academy of Sciences","Washington",200012721,2023342254,"500 FIFTH STREET NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"Publication of All Remaining Volumes in the @insects of Hawaii@ Series (Gn36)","09/24/1962","12/31/1971",23875,"Standard Grant",5020000,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available",6200003,"Jeremy","Taylor","09/24/1962","Principal Investigator","University of Hawaii","HONOLULU",968222234,8089567800,"2440 Campus Road, Box 368","United States","Hawaii","HI","09/24/1962","09/24/1962",0,NA,NA,NA,NA,NA,NA
"3",3,"Publication of a Series of Antarctic Monographs (Gn55)","10/15/1962","10/31/1969",0,"Standard Grant",5020000,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","Oscar Garcia",6200005,"Jeremy","Taylor","10/15/1962","Principal Investigator","American Geophysical Union","Washington",200099123,2024626900,"2000 FLORIDA AVE NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"Development of a New Course in Mathematics For Prospective Elementary School Teachers (G20662)","12/15/1961","02/28/1961",0,"Standard Grant",5020100,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","Oscar Garcia",6200009,"Jeremy","Taylor","12/15/1961","Principal Investigator","University of Maryland College Park","COLLEGE PARK",207425141,3014056269,"3112 LEE BLDG 7809 Regents Drive","United States","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"Publication Support For a Monograph, the Hepaticae and Anthocerotae of Eastern North America (G21066)","12/15/1961","12/31/1965",0,"Standard Grant",5020000,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","Oscar Garcia",6200010,"Jeremy","Taylor","12/15/1961","Principal Investigator","New York Botanical Garden","Bronx",104585126,7188178840,"2900 Southern Blvd","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"Expanded Marine Biological Studies of the Sorgasso Sea (G22925)","06/15/1962","05/31/1962",0,"Standard Grant",8000000,"Direct For Biological Sciences","Direct For Biological Sciences","name not available",6200011,"Jeremy","Taylor","06/15/1962","Principal Investigator","Bermuda Institute of Ocean Sciences (BIOS), Inc.","St. George's GE01",NA,4412971880,"17 Biological Station","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"University of Illinois Committee on School Mathematics (G23554)","05/15/1962","12/31/1969",0,"Standard Grant",5010100,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available",6200012,"Jeremy","Taylor","05/15/1962","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,2173332187,"SUITE A","United States","Illinois","IL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"The Production of a Sound-Color Film on Predator-Prey Relationships (G25207)","06/15/1962","08/31/1963",6600,"Standard Grant",5020100,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available",6200015,"Jeremy","Taylor","06/15/1962","Principal Investigator","University of California-Berkeley","BERKELEY",947045940,5106428109,"Sponsored Projects Office","United States","California","CA","06/15/1962","06/15/1962",NA,"Frank","Pitelka","06/15/1962","Co-Principal Investigator",NA,NA
"9",9,"The Production of a Series of Short Teaching-Aid Films in Physics","10/11/1961","04/30/1962",0,"Standard Grant",5020100,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","Oscar Garcia",6200018,"Jeremy","Taylor","10/11/1961","Principal Investigator","Kenyon College","Gambier",430229623,7404275114,"22 Ransom Hall","United States","Ohio","OH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"Committee on the Undergraduate Program in Mathematics","05/03/1962","09/30/1963",0,"Standard Grant",5020100,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","Oscar Garcia",6200019,"Jeremy","Taylor","05/03/1962","Principal Investigator","Mathematical Association of America","Washington",200361358,2023875200,"1529 18th St NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"Publication of a Series of Antarctic Monographs","10/15/1962","09/30/1963",105800,"Standard Grant",5020000,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available",6200020,"A. F.","Spilhaus, Jr.","10/15/1962","Principal Investigator","American Geophysical Union","Washington",200099123,2024626900,"2000 FLORIDA AVE NW","United States","District of Columbia","DC","10/15/1962","02/25/1975",0,NA,NA,NA,NA,5130,"ANTARCTIC COORDINATION & INFOR"
"12",12,"Editorial Preparation For the Publication ""The Bird Life of Texas""","11/14/1962","02/28/1970",35736,"Standard Grant",5020000,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available",6200102,"Jeremy","Taylor","11/14/1962","Principal Investigator","University of Texas at Austin","Austin",787121532,5124716424,"101 E. 27th Street, Suite 5.300","United States","Texas","TX","12/14/1962","03/28/1966",NA,NA,NA,NA,NA,NA,NA
"13",13,"Experimental Nuclear Physics","06/15/1962","06/30/1977",90000,"Standard Grant",1090000,"Office Of The Director","Office Of Internatl Science &Engineering","name not available",6200250,"Jeremy","Taylor","06/15/1962","Principal Investigator","University of Wisconsin-Madison","MADISON",537151218,6082623822,"21 North Park Street","United States","Wisconsin","WI","08/07/1962","09/01/1976",NA,NA,NA,NA,NA,NA,NA
"14",14,"Preparation of Educational Motion Pictures in the Plant Sciences","04/07/1962","08/31/1969",0,"Standard Grant",5020400,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","Oscar Garcia",6200251,"Jeremy","Taylor","04/07/1962","Principal Investigator","Iowa State University","AMES",500112207,5152945225,"1138 Pearson","United States","Iowa","IA",NA,NA,NA,NA,NA,NA,NA,NA,NA
